city_country,latitude,longitude
Dubai AE,25.07725,55.30927
Lezha AL,41.78361,19.64361
Buenos Aires AR,-34.61315,-58.37723
Despenaderos AR,-31.81626,-64.28989
Jujuy AR,-24.19457,-65.29712
Rosario AR,-32.94682,-60.63932
Santa Fe AR,-31.64881,-60.70868
Villa Carlos Paz AR,-31.42414,-64.49778
Klagenfurt am Wörthersee AT,46.62472,14.30528
Hobart AU,-42.87936,147.32941
Melbourne AU,-37.814,144.96332
Sydney AU,-33.86785,151.20732
Antwerp BE,51.22047,4.40026
Bobo-Dioulasso BF,11.17715,-4.2979
Burgas BG,42.50606,27.46781
Belém BR,-1.45583,-48.50444
Belo Horizonte BR,-19.92083,-43.93778
Campinas BR,-22.90556,-47.06083
Ceará BR,-3.71722,-38.54306
Contagem BR,-19.93167,-44.05361
Espírito Santo BR,-5.10667,-38.3725
Pernambuco BR,-8.05389,-34.88111
Porto Alegre BR,-30.03283,-51.23019
Rio de Janeiro BR,-22.90642,-43.18223
Rio Grande do Sul BR,-32.035,-52.09861
Salvador BR,-12.97563,-38.49096
Sao Leopoldo BR,-29.76028,-51.14722
Sao Paulo BR,-23.5475,-46.63611
Guelph CA,43.54594,-80.25599
Montreal CA,45.50884,-73.58781
Vancouver CA,49.24966,-123.11934
Cocody CI,5.33507,-4.0039
Peñalolén CL,-33.46836,-70.53411
Puerto Montt CL,-41.4693,-72.94237
Renca CL,-33.4019,-70.70619
Santiago CL,-33.45694,-70.64827
Vitacura CL,-33.39227,-70.58275
Guangzhou CN,23.11667,113.25
Shenzhen CN,22.54554,114.0683
Antioquia CO,6.55687,-75.82806
Bogota CO,4.60971,-74.08175
Quito EC,-0.22985,-78.52495
Tópaga CO,5.75979,-72.82583
Heidelberg DE,49.40768,8.69079
Mannheim DE,49.4891,8.46694
Aarhus DK,56.15674,10.21076
Copenhagen DK,55.67594,12.56553
Barcelona ES,41.38879,2.15899
València ES,39.47391,-0.37966
Vitoria-Gasteiz ES,42.84998,-2.67268
Addis Ababa ET,9.02497,38.74689
Lappeenranta FI,61.05871,28.18871
Turku FI,60.45148,22.26869
Nadi FJ,-17.80309,177.41617
Paris FR,48.85341,2.3488
Glasgow GB,55.86515,-4.25763
London GB,51.50853,-0.12574
Newcastle GB,54.97328,-1.61396
Zagreb HR,45.81444,15.97798
Palembang ID,-2.91673,104.7458
Ahmedabad IN,23.02579,72.58727
Bihar IN,25.20084,85.52389
Chennai IN,13.08784,80.27847
Panaji IN,15.49574,73.82624
Delhi IN,28.65195,77.23149
Karachi PK,24.8608,67.0104
Kochi IN,9.93988,76.26022
Mumbai IN,19.07283,72.88261
Pune IN,18.51957,73.85535
Surat IN,21.19594,72.83023
Amman JO,31.95522,35.94503
Tokorozawa JP,35.79916,139.46903
Tokyo JP,35.6895,139.69171
Yokohama JP,35.43333,139.65
Kisumu KE,-0.10221,34.76171
Nairobi KE,-1.28333,36.81667
Seoul KR,37.566,126.9784
Colombo LK,6.93548,79.84868
Kaunas LT,54.90272,23.90961
Siauliai LT,55.93333,23.31667
Casablanca MA,33.58831,-7.61138
Chefchaouen MA,35.16878,-5.2636
Nouakchott MR,18.08581,-15.9785
Campeche MX,19.84386,-90.52554
Guadalajara MX,20.66682,-103.39182
Guanajuato MX,21.01858,-101.2591
Jalisco MX,21.451,-104.8983
Oaxaca MX,17.06542,-96.72365
Querétaro MX,20.58806,-100.38806
Kuala Lumpur MY,3.1412,101.68653
Quelimane MZ,-17.87861,36.88833
Rotterdam NL,51.9225,4.47917
Utrecht NL,52.09083,5.12222
Bergen NO,60.39299,5.32415
Bodø NO,67.28,14.40501
Lima PE,-12.04318,-77.02824
Baguio PH,16.41639,120.59306
Makati PH,14.55027,121.03269
Ormoc PH,11.00639,124.6075
Quezon City PH,14.6488,121.0509
Katowice PL,50.25841,19.02754
Lodz PL,51.77058,19.47395
Warsaw PL,52.22977,21.01178
Cascais PT,38.69681,-9.42147
Lisbon PT,38.71667,-9.13333
Santo Tirso PT,41.34257,-8.47746
Cluj-Napoca RO,46.76667,23.6
Malmö SE,55.60587,13.00073
Singapore SG,1.28967,103.85007
Bo SL,7.96472,-11.73833
Kloto TG,6.95,0.56667
Bangkok TH,13.75398,100.50144
Izmir TR,38.41273,27.13838
Khmelnytskyi UA,49.41835,26.97936
Konotop UA,51.24032,33.20263
Lviv UA,49.83826,24.02324
Zhytomyr UA,50.26487,28.67669
Asheville US,35.60095,-82.55402
Austin US,30.26715,-97.74306
Charlotte US,35.22709,-80.84313
Houston US,29.76328,-95.36327
Miami US,25.77427,-80.19366
New York US,40.71427,-74.00597
Phoenix US,33.44838,-112.07404
Richmond US,37.55376,-77.46026
San Luis Obispo US,35.28275,-120.65962
Washington US,38.89511,-77.03637
Canelones UY,-34.52278,-56.27778
Cape Town ZA,-33.92584,18.42322
Durban ZA,-29.8579,31.0292
Tshwane ZA,-25.74486,28.18783
Lusaka ZM,-15.40669,28.28713
